BOX	Boxes	2019-04-30 00:00:00.000
BTL	Bottle	2019-04-30 00:00:00.000
C  	Celsius	2019-04-30 00:00:00.000
CAN	Canister	2019-04-30 00:00:00.000
CAR	Carton	2019-04-30 00:00:00.000
CBM	Cubic meters	2019-04-30 00:00:00.000
CCM	Cubic centimeter	2019-04-30 00:00:00.000
CDM	Cubic decimeter	2019-04-30 00:00:00.000
CM 	Centimeter	2019-04-30 00:00:00.000
CM2	Square centimeter	2019-04-30 00:00:00.000
CR 	Crate	2019-04-30 00:00:00.000
CS 	Case	2019-04-30 00:00:00.000
CTN	Container	2019-04-30 00:00:00.000
DM 	Decimeter	2019-04-30 00:00:00.000
DZ 	Dozen	2019-04-30 00:00:00.000
EA 	Each	2019-04-30 00:00:00.000
FT3	Cubic foot	2019-04-30 00:00:00.000
G  	Gram	2019-04-30 00:00:00.000
GAL	Gallon	2019-04-30 00:00:00.000
IN 	Inch	2019-04-30 00:00:00.000
KG 	Kilogram	2019-04-30 00:00:00.000
KGV	Kilogram/cubic meter	2019-04-30 00:00:00.000
KM 	Kilometer	2019-04-30 00:00:00.000
KT 	Kiloton	2019-04-30 00:00:00.000
L  	Liter	2019-04-30 00:00:00.000
LB 	US pound	2019-04-30 00:00:00.000
M  	Meter	2019-04-30 00:00:00.000
M2 	Square meter	2019-04-30 00:00:00.000
M3 	Cubic meter	2019-04-30 00:00:00.000
MG 	Milligram	2019-04-30 00:00:00.000
ML 	Milliliter	2019-04-30 00:00:00.000
MM 	Millimeter	2019-04-30 00:00:00.000
OZ 	Ounces	2019-04-30 00:00:00.000
PAK	Pack	2019-04-30 00:00:00.000
PAL	Pallet	2019-04-30 00:00:00.000
PC 	Piece	2019-04-30 00:00:00.000
PCT	Percentage	2019-04-30 00:00:00.000
PT 	Pint, US liquid	2019-04-30 00:00:00.000
