consecutive_number,county,type_of_intersection,light_condition,atmospheric_conditions_1,hour_of_crash,functional_system,related_factors,delay_to_hospital,delay_to_scene,age,person_type,seating_position,restraint,survived,rollover,airbag,alcohol,drugs,related_factors_person_level1,travel_speed,speeding_related,extent_of_damage,body_type,vehicle_removal,manner_of_collision,roadway_surface_condition,first_harmful_event,most_harmful_event
10001,127,Not an Intersection,Dark – Not Lighted,Clear,2,Principal Arterial – Other,0,,0.0,68,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,55,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,0,1,35,42
10002,83,Not an Intersection,Dark – Not Lighted,Cloudy,22,Interstate,0,,0.0,49,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,0,0,0,70,1,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,2,34,1
10003,11,Not an Intersection,Dark – Not Lighted,Clear,1,Principal Arterial – Other,0,,0.0,31,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,1,1,0,0,80,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,42,42
10003,11,Not an Intersection,Dark – Not Lighted,Clear,1,Principal Arterial – Other,0,,0.0,20,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,0.50,0,1,1,0,0,0,80,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,42,42
10004,45,Not an Intersection,Dark – Not Lighted,Cloudy,0,Minor Arterial,0,,1.0,40,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,0,1,0,0,75,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,0,1,53,42
10005,45,T-Intersection,Daylight,Clear,7,Principal Arterial – Other,0,,0.0,60,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,65,0,Disabling Damage,"Single-Unit Straight Truck or Cab-Chassis (GVWR > 26,000 lbs) (Since 2011)",Towed Due to Disabling Damage,6,1,12,12
10005,45,T-Intersection,Daylight,Clear,7,Principal Arterial – Other,0,,0.0,24,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,1,0,0,0,0,15,0,Disabling Damage,3-Door/2-Door Hatchback,Towed Due to Disabling Damage,6,1,12,12
10006,111,Not an Intersection,Daylight,Clear,9,Major Collector,0,,1.0,17,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,1,0,0,0,0,45,0,Disabling Damage,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",Towed Due to Disabling Damage,0,1,1,1
10006,111,Not an Intersection,Daylight,Clear,9,Major Collector,0,,1.0,64,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,0,0,0,45,0,Disabling Damage,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",Towed Due to Disabling Damage,0,1,1,1
10007,89,Not an Intersection,Dark – Lighted,Clear,18,Principal Arterial – Other,0,,0.0,80,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,0,0,0,0,999,0,Minor Damage,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",Towed Not Due to Disabling Damage,0,1,43,43
10007,89,Not an Intersection,Dark – Lighted,Clear,18,Principal Arterial – Other,0,,0.0,80,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,0,0,0,0,0,999,0,Minor Damage,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",Towed Not Due to Disabling Damage,0,1,43,43
10008,73,Not an Intersection,Dark – Not Lighted,Rain,21,Major Collector,0,,0.0,999,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,0,0,0,0,0,0,999,0,Unknown,Unknown Body Type,Not Towed,0,2,8,8
10009,117,Not an Intersection,Daylight,Cloudy,8,Principal Arterial – Other,0,,0.0,35,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,1,1,0,0,0,999,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,0,1,23,42
10010,33,Not an Intersection,Dark – Not Lighted,Clear,18,Minor Arterial,0,,1.0,80,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,1,0,0,0,30,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,2,1,12,12
10010,33,Not an Intersection,Dark – Not Lighted,Clear,18,Minor Arterial,0,,1.0,64,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,0,0,1,0,0,0,45,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,2,1,12,12
10011,83,Not an Intersection,Dark – Not Lighted,Clear,20,Principal Arterial – Other,0,,1.0,42,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,0,0,0,60,0,Disabling Damage,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),Towed Due to Disabling Damage,7,1,12,1
10011,83,Not an Intersection,Dark – Not Lighted,Clear,20,Principal Arterial – Other,0,,1.0,17,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,65,0,Functional Damage,4-Door Sedan/Hardtop,Towed Not Due to Disabling Damage,7,1,12,12
10012,95,Not an Intersection,Daylight,Clear,6,Principal Arterial – Other,0,,0.0,27,Passenger of a Motor Vehicle In-Transport,Second Seat – Left Side,0.50,0,0,0,0,0,0,50,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,6,1,12,12
