consecutive_number,county,type_of_intersection,light_condition,atmospheric_conditions_1,hour_of_crash,functional_system,related_factors,delay_to_hospital,delay_to_scene,age,person_type,seating_position,restraint,survived,rollover,airbag,alcohol,drugs,related_factors_person_level1,travel_speed,speeding_related,extent_of_damage,body_type,vehicle_removal,manner_of_collision,roadway_surface_condition,first_harmful_event,most_harmful_event
390301,35,Not an Intersection,3,2,0,98,0,,0.0,23,1,11,0.50,1,0,0,1,0,0,35.0,0,Disabling Damage,4.0,Towed Due to Disabling Damage,0,2.0,33,30.0
240301,27,Not an Intersection,1,1,15,98,0,,,83,1,11,0.50,1,0,1,0,0,0,998.0,0,Disabling Damage,4.0,Towed Due to Disabling Damage,0,0.0,39,58.0
390999,7,Not an Intersection,3,2,1,7,0,0.0,0.0,21,1,11,0.50,1,1,1,1,1,0,50.0,0,Disabling Damage,9.0,Towed Due to Disabling Damage,0,2.0,42,42.0
270285,165,Not an Intersection,1,10,11,3,0,1.0,0.0,29,1,11,1.00,1,0,1,0,0,0,999.0,0,Disabling Damage,21.0,Towed Due to Disabling Damage,1,1.0,12,12.0
170522,143,Not an Intersection,1,2,15,5,0,,,60,1,11,0.50,1,0,1,0,1,0,58.0,1,Disabling Damage,31.0,Towed Due to Disabling Damage,2,2.0,12,12.0
380037,93,Not an Intersection,1,1,10,4,0,1.0,0.0,58,1,11,1.00,1,1,0,0,0,0,998.0,0,Disabling Damage,66.0,Towed Due to Disabling Damage,0,1.0,1,1.0
290022,71,Not an Intersection,1,1,17,3,14,,,50,1,11,1.00,1,0,0,1,0,0,998.0,0,Disabling Damage,4.0,Towed Due to Disabling Damage,6,1.0,12,12.0
380007,53,Not an Intersection,2,12,20,3,0,,,18,1,11,1.00,1,0,1,0,0,0,999.0,1,Disabling Damage,4.0,Towed Due to Disabling Damage,6,4.0,12,12.0
530369,63,Not an Intersection,1,1,16,3,0,2.0,1.0,44,1,11,1.00,1,0,1,1,0,0,998.0,0,Disabling Damage,6.0,Towed Due to Disabling Damage,6,1.0,12,12.0
170152,55,T-Intersection,2,1,22,4,0,,,23,1,11,1.00,1,0,0,0,1,0,998.0,0,Disabling Damage,14.0,Towed Due to Disabling Damage,6,1.0,12,12.0
170342,199,Four-Way Intersection,1,1,9,3,0,,,86,1,11,1.00,1,0,1,0,1,0,14.0,0,Disabling Damage,5.0,Towed Due to Disabling Damage,6,1.0,12,12.0
300163,49,Four-Way Intersection,1,5,14,4,0,1.0,1.0,17,1,11,1.00,1,0,1,0,1,0,998.0,0,Disabling Damage,4.0,Towed Due to Disabling Damage,6,1.0,12,12.0
210447,71,Not an Intersection,1,1,11,5,0,,0.0,44,1,11,0.50,1,0,0,0,0,0,998.0,0,Disabling Damage,4.0,Towed Due to Disabling Damage,6,1.0,12,12.0
210159,115,Not an Intersection,2,5,3,2,0,,,65,1,11,0.50,1,0,0,0,0,0,998.0,0,Disabling Damage,14.0,Towed Due to Disabling Damage,6,1.0,12,12.0
120464,19,T-Intersection,4,5,8,3,0,,,55,1,11,1.00,1,0,1,0,0,0,60.0,0,Disabling Damage,16.0,Towed Due to Disabling Damage,6,1.0,12,12.0
170863,93,Four-Way Intersection,1,5,8,3,0,,,51,1,11,1.00,1,0,0,0,0,0,998.0,1,Disabling Damage,4.0,Towed Due to Disabling Damage,6,1.0,12,12.0
310152,131,Four-Way Intersection,1,1,9,3,0,,,24,1,11,0.50,1,0,0,0,0,0,998.0,0,Disabling Damage,30.0,Towed Due to Disabling Damage,6,1.0,12,12.0
482805,179,Not an Intersection,1,2,9,4,0,0.0,0.0,51,1,11,1.00,1,0,1,0,1,0,998.0,0,Disabling Damage,4.0,Towed Due to Disabling Damage,6,2.0,12,12.0
560129,21,Not an Intersection,2,4,23,3,0,-23.0,0.0,26,1,11,1.00,1,0,0,0,1,0,999.0,0,Disabling Damage,15.0,Towed Due to Disabling Damage,6,2.0,12,12.0
390312,57,Not an Intersection,2,1,4,1,0,,0.0,36,1,11,1.00,1,0,0,0,0,0,998.0,0,Disabling Damage,66.0,Towed Due to Disabling Damage,1,1.0,12,12.0
190086,49,Not an Intersection,2,1,0,4,0,,,37,1,11,1.00,1,0,0,0,1,0,998.0,0,Disabling Damage,2.0,Towed Due to Disabling Damage,1,1.0,12,12.0
390645,93,Not an Intersection,1,1,15,3,0,1.0,0.0,48,1,11,1.00,1,0,1,0,0,0,998.0,0,Disabling Damage,2.0,Towed Due to Disabling Damage,1,1.0,12,12.0
